3,0
7,2
8,0
12,2
13,2
14,2
15,2
17,1
18,1
19,1
21,1
23,2
25,2
26,2
27,2
30,2
32,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
53,0
56,0
57,0
60,2
62,0
65,2
66,2
67,2
68,2
70,2
73,0
74,0
76,0
77,0
78,0
80,0
81,0
82,0
83,2
84,0
86,0
87,0
89,0
90,0
91,0
92,0
93,0
94,0
101,0
105,2
107,2
108,2
109,2
112,1
116,2
118,0
119,2
120,0
121,0
122,2
123,2
124,2
126,2
127,2
128,0
129,2
130,2
131,2
132,2
134,2
135,2
136,0
137,2
138,2
140,2
142,0
143,2
144,0
147,2
149,2
150,2
152,1
153,1
154,1
155,1
157,1
158,2
159,2
160,0
162,2
163,1
164,1
165,0
166,1
167,0
168,0
169,2
171,2
172,2
173,2
174,2
175,0
177,2
179,2
180,1
181,0
182,2
183,2
184,0
185,0
